782165,     115,    1059,     -38
83820706,      51,    1032,     -26
83859248,     -47,     997,     -30
83897790,    -118,     985,       0
83936331,     -77,     976,      82
83974873,    -116,     999,     -82
84013415,     -30,    1024,      12
84051956,     -48,    1015,     -11
84090498,     -43,    1013,     -44
84129040,     -41,     998,     -63
84167581,     -11,     990,      12
84206123,     -26,     985,      41
84244665,     -68,    1007,     -48
84283206,      10,    1037,      40
84321748,       2,    1073,     102
84360290,     -18,    1053,     118
84398831,     -29,    1043,      34
84437373,     -19,    1033,     -23
84475915,      -3,    1018,       0
84514456,     -23,    1012,     -53
84552998,     -27,     999,      10
84591540,     -86,     997,      45
84630081,     -81,    1014,      -6
84668623,     -41,    1015,      98
84707165,     -42,    1004,      68
84745706,     -59,     996,      18
84784248,     -85,     984,      10
84822790,    -107,     978,      26
84861331,     -92,     987,     -12
84899873,    -105,    1007,      40
84938415,     -12,    1046,     114
84976956,     -41,    1060,     125
85015498,     -14,    1045,     -14
85054040,      42,    1046,     -38
85092581,      -3,    1016,      21
85131123,     -19,    1017,    -106
85169665,      -6,    1009,       4
85208206,    -100,    1001,      -2
85246748,     -76,    1034,     -79
85285290,     -35,    1021,     147
85323831,     -92,    1006,      69
85362373,    -113,     974,      70
85400915,    -128,     962,      50
85439456,    -105,     969,      51
85477998,    -119,     970,      87
85516540,    -116,     975,     -47
85555081,     -93,     966,     -47
85593623,    -124,     984,      36
85632165,    -104,    1001,     -29
85670706,     -54,     999,      -6
85709248,    -100,     993,      31
85747790,     -60,    1021,      15
85786331,     -78,    1030,      46
85824873,     -62,    1037,      48
85863415,     -26,    1031,     -54
85901956,     -10,    1024,     -30
85940498,     -58,    1005,     -19
85979040,     -90,     988,     -29
86017581,     -38,     995,      -2
86056123,    -114,     998,      35
86094665,     -88,    1023,       9
86133206,     -50,    1032,      25
86171748,     -50,    1018,     -60
86210290,     -49,    1029,     -45
86248831,     -41,    1021,       1
86287373,     -47,    1031,     -91
86325915,     -48,    1021,      -9
86364456,     -95,    1020,     -89
86402998,    -108,    1020,     -79
86441540,     -80,    1029,    -139
86480081,     -65,    1038,    -232
86518623,     -89,    1033,    -211
86557165,     -93,    1031,    -144
86595706,    -124,     999,    -258
86634248,    -178,     956,    -224
86672790,    -207,     906,    -325
86711331,     -15,     882,    -282
86749873,    -124,     833,     -35
86788415,    -105,     754,     161
86826956,    -214,     691,     395
86865498,    -315,     655,     396
86904040,       8,     616,     371
86942581,     -17,     587,     287
86981123,      73,     580,     496
87019665,       9,     553,     878
87058206,     244,     578,     617
87096748,      35,     527,     664
87135290,     150,     472,     677
87173831,     245,     319,     671
