219887727,    -81,   -979,      2,    140,   -280,    490
219892728,    -83,   -974,      1,     70,   -560,    420
219897730,    -82,   -975,      1,      0,   -420,    490
219902731,    -83,   -977,      1,    140,   -420,    560
219907732,    -83,   -975,      1,    210,   -280,    490
219912733,    -82,   -977,      3,    280,   -770,    350
219917734,    -81,   -976,      1,    280,   -350,    350
219922735,    -82,   -977,      2,    210,   -490,    420
219927736,    -81,   -976,      2,    350,   -560,    560
219932737,    -82,   -977,      1,    350,   -700,    420
219937738,    -83,   -977,      1,   -210,   -280,    420
219942739,    -82,   -976,      1,   -210,   -210,    490
219947740,    -82,   -977,      1,    140,   -350,    420
219952741,    -83,   -977,      0,    140,   -490,    280
219957744,    -82,   -974,      0,   -210,   -350,    350
219962746,    -81,   -975,      1,    350,   -770,    560
219967748,    -83,   -976,      1,      0,   -700,    420
219972750,    -82,   -976,      0,   -140,   -700,    210
219977752,    -83,   -975,      0,      0,   -560,    210
219982753,    -82,   -977,      0,     70,   -630,    140
219987755,    -83,   -975,      2,     70,   -700,    280
219992756,    -84,   -975,      1,    210,   -700,    350
219997757,    -82,   -975,      2,    -70,   -280,    350
220002759,    -81,   -976,      2,    210,   -700,    350
220007760,    -83,   -978,      1,   -140,   -630,    420
220012761,    -81,   -976,      2,    140,   -420,    420
220017762,    -82,   -975,      0,    280,   -350,    490
220022763,    -82,   -977,      2,   -210,   -490,    210
220027764,    -83,   -976,      2,    140,   -560,    280
220032765,    -82,   -977,      1,      0,   -490,    490
220037766,    -85,   -975,      0,    140,   -490,    630
220042767,    -82,   -974,      0, -17850,   -280,    490
220047770,    -83,   -975,      0,     70,   -490,    420
220052773,    -82,   -977,      1,      0,   -560,    420
220057774,    -82,   -976,      2,    140,   -630,    210
220062775,    -82,   -980,      5,    350,   -490,    140
220067776,    -82,   -973,     -1,    210,   -280,    350
220072779,    -85,   -974,      1,     70,   -420,    420
220077780,    -82,   -974,      1,    210,   -490,    700
220082782,    -81,   -977,      1,      0,   -350,    350
220087785,    -83,   -976,      2,    140,   -630,    490
220092786,    -83,   -972,    -60,     70,   -630,    350
220097788,    -82,   -976,      0,    140,   -490,    630
220102789,    -84,   -979,      1,      0,   -490,    420
220107792,    -81,   -981,      2,     70,   -420,    210
220112793,    -85,   -976,      2,    210,   -700,    490
220117795,    -81,   -972,      0,    280,   -490,    420
220122796,    -82,   -974,      1,    -70,   -700,    700
220127798,    -81,   -976,      1,   -210,   -770,    350
220132799,    -83,   -979,      0,      0,   -490,    210
220137801,    -85,   -976,      2,    -70,   -350,    210
220142802,    -82,   -973,      0,    140,   -490,     70
220147803,    -83,   -973,      1,    350,   -630,    210
220152804,    -82,   -975,      1,    140,   -420,    420
220157805,    -82,   -977,      1,    -70,   -910,    490
220162807,    -81,   -976,      2,    280,   -770,    490
220167808,    -82,   -977,      0,    140,   -420,    210
220172810,    -84,   -980,      1,    -70,   -560,     70
220177811,    -82,   -975,      1,    140,   -420,      0
220182814,    -82,   -977,      1,   -140,   -420,    210
220187817,    -82,   -976,      1,   -140,   -350,    490
220192818,    -84,   -975,      0,    210,   -420,    280
220197821,    -83,   -976,      1,    140,   -630,    420
220202824,    -82,   -975,      0,    210,   -630,    420
220207825,    -82,   -974,      0,      0,   -630,    560
220212826,    -81,   -975,     -1,      0,   -630,    420
220217827,    -81,   -976,      0,    420,   -490,    490
220222830,    -82,   -976,      1,    140,   -280,    210
220227832,    -84,   -977,      0,     70,   -350,    -70
220232835,    -84,   -977,      1,      0,   -350,    210
220237837,    -80,   -977,      2,    140,   -630,    350
220242839,    -81,   -977,      1,     70,   -560,    350
220247840,    -83,   -976,      0,    280,   -350,    280
220252841,    -82,   -975,      1,    -70,   -630,    420
220257844,    -83,   -979,      1,    -70,   -630,    140
220262847,    -81,   -978,      1,     70,   -560,    210
220267850,    -85,   -975,      3,    210,   -350,    350
220272851,    -84,   -971,      0,    210,   -560,    280
220277852,    -81,   -974,      2,    -70,   -560,    490
220282854,    -81,   -978,      0,   -210,   -490,    140
220287856,    -83,   -975,      2,    140,   -560,    140
220292858,    -82,   -978,      2,   -140,   -630,    420
220297859,    -82,   -976,      1,    420,   -560,    280
220302860,    -82,   -973,      0,    350,   -840,    350
220307862,    -84,   -976,      1,   -140,   -350,    210
220312865,    -84,   -976,      1,      0,   -560,    420
220317867,    -85,   -978,      2,    140,   -560,    560
220322868,    -81,   -977,      3,    210,   -770,    420
220327870,    -82,   -976,      0,    210,   -630,    630
220332872,    -83,   -975,      0,      0,   -560,    420
220337874,    -82,   -974,      4,   -210,   -490,    210
220342876,    -83,   -975,      0,      0,   -490,    420
220347878,    -83,   -975,      1,    -70,   -700,    420
220352880,    -83,   -977,      1,    350,   -280,    280
220357882,    -81,   -976,      2,    210,   -420,    490
220362885,    -83,   -976,      1,    140,   -280,    280
220367887,    -84,   -975,     -1,    350,   -490,    350
220372890,    -82,   -975,      3, -17850,   -350,    280
220377893,    -84,   -976,      1,   -140,   -210,    140
220382894,    -81,   -977,      1,    210,   -770,    210
220387896,    -82,   -977,      1,    280,   -350,    140
220392897,    -84,   -974,      0,     70,   -560,    280
220397898,    -80,   -975,      1,    140,   -280,    420
220402899,    -82,   -976,      0,    210,   -210,    210
220407901,    -81,   -975,      2,      0,   -420,    280
220412903,    -81,   -976,      1,    210,   -420,    490
220417905,    -83,   -975,      0,    -70,   -490,    280
220422907,    -83,   -976,      1,    210,   -210,    490
220427909,    -81,   -973,      0,    210,   -490,    350
220432912,    -81,   -976,      0,    -70,   -490,    350
220437913,    -83,   -977,      1,    -70,   -210,    280
220442914,    -83,   -977,      1,    -70,   -140,    350
220447915,    -84,   -976,      2,    210,   -630,    420
220452917,    -83,   -978,      1,    140,   -630,    140
220457919,    -80,   -975,      0,    210,   -280,    280
220462920,    -82,   -975,      0,    350,   -560,     70
220467922,    -81,   -975,      2,     70,   -350,    280
220472923,    -84,   -977,      1,      0,   -700,    280
220477926,    -83,   -975,      0,      0,   -630,    280
220482927,    -84,   -974,      1,    210,   -560,    350
220487929,    -84,   -976,      1,   -210,   -770,    560
220492930,    -84,   -972,      1,   -140,   -630,    280
220497932,    -85,   -976,      1,    -70,   -560,    210
220502935,    -82,   -977,      1,    140,   -560,    280
220507936,    -82,   -977,      2,     70,   -280,    140
220512939,    -87,   -975,      2,      0,   -350,    350
220517940,    -83,   -975,      2,      0,   -490,    210
220522941,    -83,   -977,      3,    -70,   -770,    280
220527943,    -83,   -978,      2,   -140,   -630,    210
220532946,    -84,   -978,      0,    210,   -490,    280
220537948,    -81,   -976,      1,    280,   -560,    350
220542950,    -82,   -976,      1,    -70,   -700,    140
220547952,    -82,   -977,      0,      0,   -700,    280
220552954,    -83,   -974,      2,      0,   -560,    280
220557956,    -81,   -976,      1,   -140,   -420,    140
220562958,    -83,   -976,      0,   -280,   -630,    210
220567960,    -81,   -976,      1,    280,   -420,    210
220572962,    -86,   -974,      1,    280,   -420,    280
220577963,    -86,   -974,      0,    210,   -770,    490
220582965,    -83,   -975,      1,    280,   -700,    560
220587968,    -82,   -978,      2,     70,   -630,    350
220592970,    -82,   -976,      0,    210,   -700,    350
220597972,    -81,   -976,      1,      0,   -490,    560
220602975,    -81,   -978,      1,    140,   -420,    280
