20
172359927,      0,   1009,     -5,   -350,   -840,   1330
172364928,      0,   1012,     -3,   -840,  -1260,   1190
172369930,     -4,   1010,     -2,   -910,  -1120,   1470
172374931,     -6,   1010,      0,   -210,  -1050,   1330
172379933,     -3,   1009,      0,   -560,   -630,   1260
172384935,      0,   1011,      2,   -490,   -350,   1120
172389938,      1,   1015,      3,   -280,    140,   1190
172394939,      0,   1013,      4,   -140,    280,   1120
172399940,      0,   1013,      8,   -140,     70,   1120
172404942,      2,   1011,      3,   -210,    -70,   1050
172409944,      3,   1012,      7,   -420,      0,   1260
172414947,      0,   1009,      8,      0,   -420,   1330
172419949,      3,   1010,      6,      0,   -700,   1190
172424952,      7,   1008,      4,    210,   -910,   1190
172429953,      7,   1011,      4,     70,  -1050,    980
172434955,      3,   1011,      7,    420,   -700,    770
172439957,      2,   1011,      6,    630,   -280,    210
172444958,      6,   1012,      6,    420,   -350,    560
172449959,      3,   1016,      2,    490,    -70,    490
172454960,      3,   1010,      1,    770,     70,    490
172459962,      0,   1012,      0,    980,   -280,    490
172464965,      3,   1010,      1,    770,   -770,    350
172469966,      3,   1010,      0,    840,  -1050,    350
172474968,      2,   1012,     -1,    700,   -770,    420
172479971,      1,   1013,     -1,    490,   -840,    210
172484972,      0,   1008,     -1,    420,   -420,    140
172489974,      1,   1011,     -2,    840,   -350,    280
172494975,      2,   1011,     -1,    840,   -140,      0
172499977,      2,   1012,     -4,    770,   -350,  17710
172504979,      5,   1011,     -6,    770,   -910,    210
172509981,      4,   1009,     -3,    630,  -1190,   -140
172514983,      1,   1012,     -4,    560,  -1820,   -140
172519986,      0,   1012,     -3,      0,  -1750,      0
172524987,     -2,   1011,     -2,    490,  -1890,    280
172529988,     -3,   1011,      0,    560,  -1820,    350
172534989,     -1,   1010,     -2,    560,  -1260,     70
172539992,      0,   1010,     -2,    840,   -490,   -140
172544994,     -3,   1010,     -5,    420,   -560,   -280
172549996,     -1,   1009,     -3,    350,    210,   -140
172554998,     -1,   1006,     -2,    840,    420,   -280
172560001,     -3,   1007,     -4,    490,    140,   -560
172565002,     -4,   1008,     -5,    490,    420,   -420
172570003,     -2,   1010,     -6,    560,   -140,   -490
172575004,     -5,   1008,     -4,    -70,   -910,   -350
172580006,     -9,   1009,     -2,    350,  -1050,  17640
172585007,    -10,   1012,     -1,    420,  -1330,      0
172590008,    -10,   1009,     -1,    700,  -1190,     70
172595010,     -9,   1011,     -1,    630,   -980,    140
172600011,     -7,   1009,     -3,    840,   -770,   -140
172605012,     -5,   1007,     -5,    560,   -840,    140
172610013,     -5,   1010,     -7,    420,   -420,      0
172615015,     -8,   1011,     -5,    700,  -1120,   -350
172620017,    -10,   1013,     -3,    490,   -910,     70
172625018,    -14,   1011,     -5,    350,   -980,     70
172630019,    -12,   1009,     -4,     70,  -1120,    140
172635022,    -12,   1009,     -3,    -70,  -1120,    140
172640025,    -12,   1012,      0,   -210,   -840,    350
172645026,     -9,   1011,     -2,     70,   -630,    210
172650028,    -11,   1009,     -1,    490,   -280,    350
172655030,    -16,   1010,     -3,    560,    -70,    490
172660032,    -15,   1011,     -7,    560,     70,    770
172665034,    -17,   1009,     -2,    560,   -490,    490
172670035,    -19,   1008,     -3,    560,   -840,   1260
172675037,    -13,   1011,     -6,    140,   -840,   1120
172680039,    -10,   1011,     -4,    210,   -910,   1050
172685040,    -13,   1010,     -4,      0,  -1050,   1400
172690041,    -11,   1011,     -4,    210,   -770,   1400
172695042,    -13,   1009,      0,    140,   -700,   1190
172700044,    -11,   1010,     -2,      0,   -490,   1400
172705045,    -11,   1011,      0,    350,    350,   1050
172710047,    -10,   1013,     -1,    -70,    280,   1260
172715049,     -7,   1010,     -4,    140,    630,   1190
