    -21,      30,     991
    -30,      26,    1006
    100,     -11,     998
    -64,      93,     937
   -139,      74,     718
   -210,     177,    1270
   -108,     247,    1104
   -135,     660,     237
   -362,     901,    -281
   -388,     957,     -18
   -299,    1024,      32
   -416,     929,       3
   -519,     995,      38
   -136,    1135,     130
    142,    1036,     138
      3,     970,     -27
    -52,    1028,      56
    -21,    1081,       0
     -1,     988,      30
    -23,     987,     112
     60,    1000,     187
      2,     944,     -52
   -251,     874,    -311
   -478,    1088,      40
   -226,     940,     -11
   -233,     972,      39
   -150,     945,      11
   -163,    1011,      42
   -164,     981,      -9
   -201,    1009,    -128
   -314,    1003,     -59
   -384,     889,     -86
    -81,     958,     129
     84,    1035,      77
    -14,    1049,     -82
   -129,    1013,     -21
    -73,    1023,     -11
   -124,    1030,     -11
    -64,    1020,    -152
    -54,    1014,    -104
    -67,     959,      96
   -113,     963,    -339
   -249,    1049,     -87
   -509,     989,    -318
   -127,    1014,    -187
   -142,     964,    -117
   -179,    1033,     -96
   -169,    1002,     -38
   -175,     985,    -101
   -161,     987,    -109
   -166,    1016,     -72
   -166,     987,    -110
   -183,    1013,    -115
   -168,    1001,     -53
   -160,     998,    -105
   -166,    1019,    -122
   -165,     996,     -78
   -173,    1001,    -110
   -176,     974,     -99
   -153,     987,     -83
   -149,    1030,    -128
   -188,    1021,     -90
   -166,     961,     -19
   -145,     977,    -181
   -192,     999,    -140
   -182,     980,    -166
   -140,     973,    -141
   -170,     964,    -228
   -111,    1019,    -198
   -120,    1007,    -193
   -111,     950,    -120
    -84,     975,     -52
   -129,    1025,    -181
   -164,     886,    -140
    216,     898,    -344
    310,     855,      46
   -250,     799,     969
    278,     918,     467
    151,     801,     465
     91,     915,     437
    127,     884,     453
    122,     875,     501
     50,     862,     508
    296,    1045,     639
    -16,     881,    -210
    -85,     939,    -687
    -62,     939,    -438
    -72,     914,    -344
   -119,     926,    -307
   -133,     991,    -364
     69,     846,    -343
     34,     940,    1043
    102,     931,     293
    358,     883,     262
    200,     892,     382
    176,     929,     332
    167,     954,     381
    164,     898,     334
    255,     901,     450
    335,    1129,      -3
   -159,     984,    -585
   -196,     942,    -189
   -117,     979,    -322
   -187,     927,    -162
   -239,    1058,    -236
   -278,    1022,     -82
   -214,    1012,    -192
   -211,     929,    -224
   -183,     810,     -13
   -222,     758,     274
   -103,     530,     761
    -46,     353,     990
    151,     140,     907
    -12,      15,    1013
     21,      35,    1015
      1,      50,     952
   -100,      22,    1093
    -17,      73,     880
    -25,      38,     991
    -27,      36,     996
    -26,      36,     997
    -26,      32,     995
   -173,     -41,    1082
    -37,      38,     965
    -26,      35,     991
     -1,      47,     951
    -17,      65,     981
    121,      50,    1019
    -22,      40,     992
    -22,      26,     999
    -27,      44,     994
    -25,      32,     999
    -26,      28,     998
    -27,      39,     994
    -27,      37,     997
    -29,      30,     998
    -29,      37,     995
    -29,      33,    1000
    -28,      33,     995
    -27,      36,     998
    -27,      33,     995
    -26,      35,     996
    -27,      35,     996
    -27,      34,     998
    -27,      36,     997
    -28,      35,     999
